# Program:featureCounts v2.0.0; Command:"featureCounts" "./bam/PmCranial_R1_kpetMar1.bam" "./bam/PmCranial_R2_kpetMar1.bam" "./bam/PmTrunk_R1_kpetMar1.bam" "./bam/PmTrunk_R2_kpetMar1.bam" "-T" "8" "-t" "exon" "-s" "0" "-g" "gene_id" "-F" "GTF" "-a" "/data/Megan/Lamprey_CT/kPetMar1_ht2/pmz.genes-fixed.gtf" "-o" "kpetMar1.featurecounts.txt" 
Geneid	Chr	Start	End	Strand	Length	./bam/PmCranial_R1_kpetMar1.bam	./bam/PmCranial_R2_kpetMar1.bam	./bam/PmTrunk_R1_kpetMar1.bam	./bam/PmTrunk_R2_kpetMar1.bam
PMZ_0050009	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	463164;463689;464346;469344;470326;471355;472269;474596	463222;463758;464437;469536;470466;471486;472373;474622	+;+;+;+;+;+;+;+	819	0	27	307	251
PMZ_0050010	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	477580;479938;482441;483184;483800;492369;496711;497188	477734;480109;482776;483318;483980;492649;496875;497334	+;+;+;+;+;+;+;+	1572	0	6	641	679
PMZ_0050011	chr1;chr1;chr1;chr1;chr1;chr1	592211;598444;607042;614987;617197;619164	592287;598552;607524;616909;617925;619691	+;+;+;+;+;+	3849	0	0	0	5
PMZ_0035654	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	678055;678860;680620;684198;684503;685372;686147;689025;689557;689920	678075;678966;680855;684288;684694;685625;686219;689113;689595;690027	+;+;+;+;+;+;+;+;+;+	1210	14	15	111	172
PMZ_0050012	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	700733;707241;708345;710047;713352;716308;719292;719705;727955;728917;730126;731600	700859;707421;708486;710117;713521;716381;719418;719785;728084;729121;730257;731785	+;+;+;+;+;+;+;+;+;+;+;+	1626	72	33	363	401
PMZ_0050013	chr1;chr1;chr1;chr1	841349;844798;849637;850820	841487;845497;849709;850858	+;+;+;+	951	0	0	11	2
PMZ_0050014	chr1;chr1;chr1	901074;907891;908351	901406;908010;909186	-;-;-	1289	0	0	0	0
PMZ_0045134	chr1;chr1;chr1	921405;922859;930042	921533;923165;930092	-;-;-	487	0	0	0	22
PMZ_0050015	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	930091;947295;947767;948052;948348;973096;973983;975110	930095;947473;947888;948163;948433;973167;974015;976117	+;+;+;+;+;+;+;+	1617	3375	3011	2376	2681
PMZ_0032889	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	999597;999670;1011438;1017813;1019783;1021773;1023358;1027431;1029264;1033204;1033911;1041010	999624;999776;1011584;1018003;1019877;1022013;1023489;1027508;1029434;1033304;1034037;1041094	+;+;+;+;+;+;+;+;+;+;+;+	1503	32	174	260	343
PMZ_0050016	chr1;chr1;chr1;chr1;chr1;chr1;chr1	1047502;1050752;1051879;1052911;1054138;1055235;1059100	1047564;1050901;1052021;1053130;1054236;1055352;1061630	-;-;-;-;-;-;-	3324	203	68	351	273
PMZ_0047438	chr1;chr1;chr1;chr1	1145780;1146846;1151554;1154835	1146803;1147351;1151789;1154996	-;-;-;-	1928	1413	1712	1554	1767
PMZ_0045116	chr1;chr1;chr1;chr1;chr1	1182211;1183171;1184346;1185591;1187097	1182267;1183301;1184396;1185684;1187151	-;-;-;-;-	388	250	59	232	265
PMZ_0050017	chr1;chr1;chr1;chr1;chr1;chr1	1211959;1212555;1214055;1214871;1215671;1217821	1212099;1212698;1214264;1214965;1215874;1218021	-;-;-;-;-;-	995	80	24	332	415
PMZ_0050018	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1230191;1242341;1243116;1253327;1254186;1255194;1256334;1258278;1261030;1261861;1262269;1263478;1264102;1264630;1266228;1267308;1267889;1284970	1230352;1242513;1243220;1253489;1254257;1255289;1256450;1258380;1261155;1262145;1262456;1263663;1264202;1264760;1266361;1267479;1268003;1285327	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2787	18	184	149	124
PMZ_0050019	chr1;chr1;chr1	1335018;1342688;1343244	1335057;1342775;1343337	-;-;-	222	0	0	0	1
PMZ_0050020	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1366322;1367377;1368112;1368673;1370569;1372558;1373336;1376307;1376854	1366409;1367535;1368290;1368828;1370727;1372751;1373463;1376439;1377626	+;+;+;+;+;+;+;+;+	1969	316	165	376	279
PMZ_0050021	chr1	1399468	1399773	-	306	0	88	25	31
PMZ_0050022	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1402746;1402898;1403675;1404633;1406206;1407300;1408292;1410483;1412162;1412435	1402812;1403465;1403801;1404833;1406374;1407425;1408379;1410591;1412255;1412718	-;-;-;-;-;-;-;-;-;-	1833	0	25	139	186
PMZ_0050023	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1451382;1452245;1452598;1452999;1453989;1454577;1460811;1462469	1451420;1452389;1452674;1453193;1454173;1454626;1461172;1462549	-;-;-;-;-;-;-;-	1134	134	157	763	739
PMZ_0022971	chr1;chr1;chr1;chr1	1470311;1471477;1477047;1477344	1470528;1471532;1477088;1477413	-;-;-;-	386	79	168	259	206
PMZ_0050024	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1516456;1517060;1519496;1520222;1520780;1524441;1525711;1526437;1527584;1530904	1516557;1517437;1519660;1520290;1520811;1524591;1525770;1526547;1527610;1531068	-;-;-;-;-;-;-;-;-;-	1260	342	406	544	458
PMZ_0050025	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1532801;1533481;1536310;1537372;1538052;1538261;1538394;1539197;1546641;1547340;1550904;1552405;1555289	1532979;1533535;1536448;1537435;1538088;1538281;1538420;1539264;1546786;1547605;1551047;1555119;1556700	+;+;+;+;+;+;+;+;+;+;+;+;+	5273	0	70	21	19
PMZ_0050026	chr1;chr1	1567657;1569432	1568089;1569872	+;+	874	0	0	0	1
PMZ_0045081	chr1;chr1	1579038;1581193	1579385;1581325	+;+	481	0	0	0	0
PMZ_0050027	chr1;chr1;chr1	1587233;1591300;1596945	1588296;1591462;1597125	-;-;-	1408	992	1493	872	971
PMZ_0045083	chr1;chr1;chr1;chr1	1633881;1635794;1636905;1639435	1634037;1635866;1637155;1639476	-;-;-;-	523	185	202	130	148
PMZ_0050028	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1650014;1654578;1660820;1668538;1669606;1674318;1674657;1677134;1677634;1678623;1680304;1681771;1682760;1684263;1692998	1650589;1654698;1660934;1668688;1669731;1674428;1674736;1677245;1678152;1678797;1680416;1681833;1682826;1684418;1693081	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2569	661	779	986	1266
PMZ_0050029	chr1;chr1;chr1	1698067;1698710;1699272	1698605;1698971;1699709	-;-;-	1239	0	0	0	0
PMZ_0050030	chr1;chr1;chr1;chr1;chr1	1706183;1706553;1707043;1708584;1708843	1706290;1706675;1707130;1708627;1709007	-;-;-;-;-	528	16	0	33	40
PMZ_0050031	chr1;chr1;chr1	1733175;1734614;1741566	1733504;1734730;1742411	-;-;-	1293	397	429	357	351
PMZ_0050032	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1743154;1746567;1747564;1747898;1748725;1749413;1750172;1750870;1752758;1753308;1754264;1757882;1759182;1760170	1743333;1746589;1747638;1747979;1748784;1749516;1750237;1750930;1752894;1753444;1754394;1757968;1759293;1760912	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1998	1095	1508	1537	1735
PMZ_0032280	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1793398;1799148;1800492;1801101;1801404;1801994;1802768;1804495;1805581;1806401;1807708;1809775;1811785;1812362;1813014;1814420	1793524;1799561;1800636;1801132;1801728;1802209;1802915;1804564;1805712;1806608;1807796;1809889;1811818;1812529;1813100;1814491	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2382	194	110	617	711
PMZ_0033189	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1809796;1811785;1812295;1813014;1816251;1817658;1818131;1818344;1818666;1819252;1819964;1820661;1822813;1823044;1823346;1823995;1824463;1824810;1825367;1825820;1827673;1828286;1829088;1829695;1830853;1831252;1832742;1838596	1809889;1811818;1812541;1813100;1816475;1817747;1818234;1818409;1818821;1819395;1820029;1820780;1822927;1823171;1823485;1824118;1824498;1824837;1825494;1825930;1827819;1828399;1829141;1829778;1830990;1831437;1832869;1838654	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3153	329	495	1616	1354
PMZ_0038443	chr1;chr1;chr1	1850958;1851405;1852812	1851338;1852624;1853507	+;+;+	2297	187	115	520	320
PMZ_0050033	chr1;chr1;chr1	1877356;1878220;1879373	1877585;1878724;1879498	+;+;+	861	0	0	0	0
PMZ_0050034	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1879275;1880131;1882121;1883173;1884345;1887008;1888520;1893726;1895314;1896027;1896891;1897967;1901655;1902275;1904512;1906716;1909648	1879919;1880208;1882269;1883325;1884484;1887078;1888600;1893774;1895979;1896170;1896903;1898039;1901800;1902314;1904635;1906900;1909695	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2805	38	7	105	57
PMZ_0050035	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1926768;1927710;1929239;1931827;1937559;1939020;1939625;1941000;1942317;1946004;1946719;1947892;1948917;1950469;1952068;1952488;1953351;1955002;1956013;1956568;1956924;1958231;1958508;1958923;1959413;1959919;1960608;1961732;1963093;1963531;1966638;1967107;1969557;1970843;1971825;1972479;1972837;1975308;1975779;1976500;1977142;1977610;1978564;1979836;1981104;1981574;1982373;1983498;1983969;1984706;1985591;1986415;1987078;1988717;1989548;1990530;1991176;1992446;1993289;1995050;1996660;1997603;1998040;1998865	1926785;1927868;1929309;1932254;1937875;1939091;1939841;1941142;1942384;1946163;1946925;1948041;1949052;1950602;1952247;1952601;1953520;1955099;1956185;1956727;1957003;1958411;1958684;1959044;1959595;1960099;1960876;1961917;1963217;1963675;1966766;1967226;1969762;1971144;1971955;1972652;1974714;1975661;1976138;1976757;1977495;1977963;1978917;1980189;1981457;1981927;1982726;1983851;1984322;1985188;1985722;1986552;1987128;1988854;1989710;1990651;1991289;1992514;1993450;1995220;1996825;1997913;1998132;2001219	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	16590	73	73	403	375
PMZ_0050036	chr1;chr1;chr1;chr1;chr1;chr1	2001666;2002812;2003403;2004080;2005245;2008185	2001698;2002834;2003566;2004306;2005413;2009381	+;+;+;+;+;+	1813	29	0	82	214
PMZ_0030993	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2158340;2161386;2163307;2163798;2164259;2166464;2167897;2168418;2170193;2171450;2175068;2175528	2158461;2161498;2163472;2163865;2164359;2166541;2168053;2168486;2170309;2171518;2175180;2175615	+;+;+;+;+;+;+;+;+;+;+;+	1261	75	42	32	48
PMZ_0050037	chr1;chr1;chr1;chr1;chr1	2158365;2161386;2163307;2164259;2165611	2158461;2161498;2163421;2164359;2165613	+;+;+;+;+	429	0	0	0	0
PMZ_0050038	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2188126;2189527;2192437;2193394;2194151;2194692;2195036;2195492;2196491;2199499;2199967;2200193	2188448;2189618;2192621;2193466;2194245;2194764;2195063;2195592;2196583;2199648;2200065;2201206	+;+;+;+;+;+;+;+;+;+;+;+	2326	1370	2336	4946	4244
PMZ_0050039	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2222627;2229746;2230991;2236515;2240721;2242316;2244512;2251069;2270331;2274163;2280807;2284367	2224531;2229882;2231019;2236604;2240868;2242396;2244566;2251157;2270408;2274306;2280903;2284455	-;-;-;-;-;-;-;-;-;-;-;-	2942	0	0	0	51
PMZ_0050040	chr1;chr1;chr1;chr1;chr1;chr1	2326333;2327146;2329993;2331582;2335687;2338424	2326500;2327261;2330162;2331723;2335830;2338640	-;-;-;-;-;-	957	0	0	28	20
PMZ_0030992	chr1;chr1;chr1	2445248;2464525;2482449	2445392;2464624;2482502	-;-;-	299	0	0	0	0
PMZ_0034655	chr1;chr1;chr1;chr1;chr1;chr1	2502609;2503366;2506209;2509284;2509487;2510366	2502785;2503496;2506280;2509375;2509613;2511081	+;+;+;+;+;+	1315	16	9	64	100
PMZ_0028016	chr1;chr1;chr1;chr1;chr1;chr1;chr1	2788259;2798744;2802901;2805255;2808994;2812183;2813454	2788388;2798854;2803095;2805350;2809172;2812321;2813473	+;+;+;+;+;+;+	870	14	8	45	56
PMZ_0050041	chr1	2910788	2911186	+	399	0	0	0	0
PMZ_0050042	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	2962019;2966202;2966992;2969650;2972245;2975466;2977291;2980709;2988632	2962711;2966459;2967099;2969866;2972474;2975568;2977418;2980926;2988914	-;-;-;-;-;-;-;-;-	2238	52	116	262	295
PMZ_0050043	chr1;chr1;chr1;chr1;chr1	2993177;2995144;2996831;2998440;2999362	2993522;2996069;2996935;2998539;2999470	-;-;-;-;-	1586	122	69	196	241
PMZ_0050044	chr1;chr1;chr1	3035249;3039613;3040989	3035406;3039901;3041084	-;-;-	543	26	16	139	90
PMZ_0048884	chr1;chr1	3043971;3045824	3044203;3045881	-;-	291	9	0	71	20
PMZ_0050045	chr1;chr1;chr1	3085967;3089248;3092302	3085973;3089564;3092334	+;+;+	357	0	0	0	0
PMZ_0048200	chr1;chr1;chr1;chr1;chr1;chr1;chr1	3115291;3116596;3117796;3121648;3123289;3130205;3133781	3115591;3116772;3117876;3121767;3123328;3130270;3133856	-;-;-;-;-;-;-	861	314	485	382	308
PMZ_0045132	chr1;chr1	3159170;3164888	3160489;3164967	-;-	1400	0	24	70	99
PMZ_0045131	chr1	3200934	3201314	-	381	0	0	8	0
PMZ_0045130	chr1;chr1;chr1;chr1	3222247;3225642;3226305;3228436	3222283;3226050;3227068;3228457	-;-;-;-	1232	0	12	11	14
PMZ_0050046	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3295151;3297388;3303539;3304757;3312532;3319528;3325179;3338783	3295276;3297499;3303675;3304798;3312608;3319660;3325265;3338905	+;+;+;+;+;+;+;+	837	0	0	0	15
PMZ_0050047	chr1;chr1;chr1;chr1;chr1	3383825;3385930;3387762;3390301;3390703	3385804;3385995;3387867;3390452;3390772	-;-;-;-;-	2374	62468	67967	26858	25541
PMZ_0050048	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3432341;3434294;3437543;3439837;3441926;3449245;3451804;3456586;3458034;3458480	3432541;3434743;3437926;3440310;3442102;3449443;3451935;3457382;3458137;3458858	+;+;+;+;+;+;+;+;+;+	3297	8	46	146	204
PMZ_0045128	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3476415;3481124;3483725;3485028;3495379;3496065;3496977;3500959	3476432;3481186;3483830;3485185;3495548;3496119;3497856;3500993	-;-;-;-;-;-;-;-	1485	168	141	388	494
PMZ_0050049	chr1;chr1	3554595;3566429	3558472;3566592	-;-	4042	346	541	619	567
PMZ_0045127	chr1;chr1;chr1;chr1	3576967;3578148;3578643;3579937	3577093;3578272;3578726;3579999	-;-;-;-	399	44	11	54	59
PMZ_0018517	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3600860;3607445;3610321;3617635;3618161;3619349;3620961;3622114;3628791;3630609;3632141;3643670	3600880;3607603;3610436;3617739;3618309;3619569;3621172;3622262;3628892;3630717;3632232;3645101	-;-;-;-;-;-;-;-;-;-;-;-	2867	150	279	394	415
PMZ_0050050	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4140766;4141756;4146190;4150693;4152255;4164392;4171029;4175199	4141035;4141848;4146246;4150753;4152372;4164567;4171199;4175287	+;+;+;+;+;+;+;+	1035	0	0	0	0
PMZ_0033913	chr1;chr1;chr1	4517188;4520388;4524787	4517319;4520541;4525292	+;+;+	792	0	0	16	7
PMZ_0050051	chr1	4532786	4533343	+	558	0	0	69	14
PMZ_0050052	chr1;chr1;chr1;chr1;chr1	4579058;4583012;4584900;4591880;4592940	4580495;4583129;4585041;4592030;4593757	-;-;-;-;-	2667	0	0	0	0
PMZ_0050053	chr1;chr1;chr1;chr1;chr1;chr1	4624611;4625012;4625821;4669363;4701396;4702643	4624616;4625104;4626099;4669448;4701508;4702689	-;-;-;-;-;-	624	0	0	0	0
PMZ_0050054	chr1;chr1;chr1;chr1	4741928;4744781;4747030;4751103	4742209;4744974;4747183;4751168	+;+;+;+	696	0	0	0	0
PMZ_0033914	chr1;chr1;chr1;chr1;chr1	4819598;4819692;4825981;4827004;4827141	4819668;4819743;4826107;4827064;4827204	-;-;-;-;-	375	0	0	0	0
PMZ_0050055	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4887318;4894055;4908410;4908711;4909275;4914263;4915388;4928074;4930054;4930582;4932648;4938112;4944430	4887373;4894180;4908594;4908798;4909462;4914380;4915504;4928184;4930229;4930699;4932764;4938148;4944534	-;-;-;-;-;-;-;-;-;-;-;-;-	1542	0	0	0	3
PMZ_0046694	chr1;chr1	4978906;4996669	4979127;4996809	-;-	363	0	0	0	0
PMZ_0050056	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5098944;5100677;5101884;5142715;5160383;5161139;5163573;5165782	5099008;5100789;5102006;5142800;5160593;5161278;5163629;5166788	+;+;+;+;+;+;+;+	1802	0	0	0	0
PMZ_0000695	chr1;chr1;chr1;chr1;chr1;chr1;chr1	5202713;5203090;5206112;5208046;5208833;5209607;5211654	5202791;5203144;5206290;5208098;5208863;5209717;5211775	+;+;+;+;+;+;+	630	0	0	0	0
PMZ_0038252	chr1;chr1;chr1	5222953;5223466;5227061	5223157;5223553;5227193	+;+;+	426	0	0	0	0
PMZ_0047698	chr1;chr1	5236880;5238065	5236968;5238230	+;+	255	0	0	0	0
PMZ_0050057	chr1	5308584	5308925	-	342	0	0	0	0
PMZ_0050058	chr1;chr1;chr1;chr1;chr1;chr1	5349831;5349963;5368173;5368708;5368962;5371736	5349845;5350068;5368247;5368767;5369034;5373074	+;+;+;+;+;+	1668	0	0	0	3
PMZ_0050059	chr1;chr1;chr1;chr1;chr1;chr1;chr1	5590795;5594158;5594421;5594939;5595586;5603409;5607365	5591321;5594226;5594480;5595013;5595630;5603465;5607560	-;-;-;-;-;-;-	1029	0	0	0	0
PMZ_0050060	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5686636;5690144;5691202;5693247;5694491;5696164;5698003;5699073;5702312;5703502;5706405	5686895;5690239;5691368;5693465;5694637;5696283;5698155;5699264;5702457;5703596;5707481	+;+;+;+;+;+;+;+;+;+;+	2672	79	112	236	472
PMZ_0002394	chr1;chr1;chr1;chr1;chr1	5749144;5750967;5754337;5754725;5756909	5749503;5751106;5754473;5754853;5757012	-;-;-;-;-	870	0	0	0	0
PMZ_0002393	chr1;chr1;chr1;chr1;chr1	5793989;5795379;5795570;5798213;5799901	5794146;5795456;5795614;5798290;5799985	-;-;-;-;-	444	0	0	0	0
PMZ_0050061	chr1;chr1;chr1;chr1	5838320;5842882;5844470;5848290	5841212;5843163;5844611;5848829	-;-;-;-	3857	456	430	1010	601
PMZ_0045125	chr1	5856569	5856781	+	213	0	0	0	0
PMZ_0045124	chr1;chr1;chr1;chr1;chr1;chr1;chr1	5874287;5878029;5880630;5885998;5887874;5888663;5889544	5874468;5878141;5880703;5886087;5887947;5888790;5889605	+;+;+;+;+;+;+	723	0	0	0	5
PMZ_0032703	chr1;chr1	6077148;6077909	6077742;6077930	+;+	617	0	0	0	0
PMZ_0050062	chr1	6108457	6109152	+	696	0	8	8	12
PMZ_0015093	chr1;chr1;chr1;chr1;chr1	6136111;6136268;6142089;6142225;6142533	6136242;6136358;6142203;6142433;6142629	+;+;+;+;+	644	0	0	0	0
PMZ_0050063	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6144628;6150282;6150901;6154745;6155398;6157878;6160681;6161871;6162606;6164858	6144715;6150455;6151016;6154897;6155533;6158065;6160697;6162028;6162692;6165995	+;+;+;+;+;+;+;+;+;+	2255	3	0	0	21
PMZ_0032704	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6169264;6171574;6172359;6175624;6177858;6181635;6182946;6186442;6189055	6169370;6171677;6172512;6175760;6178158;6181796;6183071;6186590;6189368	-;-;-;-;-;-;-;-;-	1554	0	0	0	7
PMZ_0050064	chr1;chr1;chr1;chr1	6211544;6214030;6215535;6216238	6212907;6214150;6215756;6217478	-;-;-;-	2948	979	1131	1136	1084
PMZ_0045120	chr1;chr1;chr1;chr1;chr1;chr1;chr1	6258343;6263046;6263949;6266327;6267670;6269004;6269892	6258370;6263642;6264271;6266369;6267975;6269073;6273457	+;+;+;+;+;+;+	4933	144	271	762	682
PMZ_0050065	chr1;chr1;chr1	6301619;6314030;6316310	6301797;6314227;6316425	-;-;-	493	0	0	0	5
PMZ_0050066	chr1;chr1;chr1;chr1;chr1	6338049;6353865;6355189;6357676;6362789	6338118;6354114;6355220;6358011;6363027	+;+;+;+;+	927	0	0	0	0
PMZ_0050067	chr1;chr1;chr1	6367474;6374791;6381688	6367767;6374851;6381815	+;+;+	483	0	0	11	17
PMZ_0050068	chr1	6393724	6395010	-	1287	69	12	167	152
PMZ_0050069	chr1;chr1;chr1;chr1;chr1	6434390;6437482;6445293;6449157;6451673	6434564;6437528;6445574;6449530;6451997	+;+;+;+;+	1203	123	51	219	181
PMZ_0050070	chr1;chr1;chr1;chr1;chr1;chr1	6460980;6465271;6466632;6473831;6482932;6486286	6462056;6465387;6466781;6473935;6483058;6486302	-;-;-;-;-;-	1593	0	0	35	43
PMZ_0012848	chr1;chr1;chr1	6563997;6565863;6569830	6564097;6566030;6569995	-;-;-	435	0	0	0	0
PMZ_0050071	chr1	6596601	6597377	-	777	225	294	184	100
PMZ_0050072	chr1;chr1;chr1;chr1	6598124;6601701;6605770;6607605	6598255;6601873;6605821;6607761	-;-;-;-	514	1986	2062	1834	2082
PMZ_0050073	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6609957;6613707;6620954;6624204;6626456;6627245;6628166;6628751;6631690	6612155;6613751;6620960;6624269;6626629;6627354;6628319;6628830;6631896	-;-;-;-;-;-;-;-;-	3042	4470	7355	3927	4171
PMZ_0050074	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6644854;6648279;6648843;6650338;6652179;6655201;6656506;6657371	6644967;6648336;6648991;6650474;6652311;6655261;6656623;6657848	+;+;+;+;+;+;+;+	1248	0	0	0	0
PMZ_0011894	chr1;chr1;chr1;chr1	6669566;6670438;6671087;6680073	6669602;6670579;6671218;6680100	-;-;-;-	339	0	0	0	0
PMZ_0050075	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6680099;6685685;6686704;6688212;6690563;6693591;6694895;6695760	6680213;6685742;6686852;6688348;6690695;6693651;6695012;6696237	+;+;+;+;+;+;+;+	1249	0	0	0	0
