PMGeneID	GalgalGeneID	GeneName	QueryLength	NumberOfMatches	AlignmentScore	Strand	GalgalProteinID
PMZ_0029962	ENSGALG00000003518	GPAT4	127	111	87.4015748	+	ENSGALP00000005551
PMZ_0034051	ENSGALG00000004083	GRIA1	316	289	91.4556962	+	ENSGALP00000006483
PMZ_0042444	ENSGALG00000038043	HECTD2	170	125	73.52941176	+	ENSGALP00000057349
PMZ_0029954	ENSGALG00000009231		113	81	71.68141593	+	ENSGALP00000015009
PMZ_0042446	ENSGALG00000006486	RPP30	43	28	65.11627907	+	ENSGALP00000010470
PMZ_0042447	ENSGALG00000015404		124	94	75.80645161	+	ENSGALP00000035964
PMZ_0042448	ENSGALG00000035081	HTR7	95	77	81.05263158	+	ENSGALP00000047348
PMZ_0030454	ENSGALG00000015712	SLBP	78	58	74.35897436	+	ENSGALP00000025292
PMZ_0042441	ENSGALG00000031474	ZRANB1	357	310	86.83473389	+	ENSGALP00000045658
PMZ_0030455	ENSGALG00000031158	OAT	323	257	79.56656347	+	ENSGALP00000053373
PMZ_0042442	ENSGALG00000029544		67	48	71.64179104	+	ENSGALP00000058564
PMZ_0030456	ENSGALG00000007753	POLL	160	103	64.375	+	ENSGALP00000012558
PMZ_0044974	ENSGALG00000009551	DYNC1I2	344	296	86.04651163	+	ENSGALP00000015531
PMZ_0042451	ENSGALG00000001916	SLIT3	81	56	69.13580247	+	ENSGALP00000002963
PMZ_0023116	ENSGALG00000041121	SLIT2	489	410	83.84458078	+	ENSGALP00000045198
PMZ_0038926	ENSGALG00000040549	HTR7	143	118	82.51748252	+	ENSGALP00000048908
PMZ_0042453	ENSGALG00000014391	CCDC149	127	94	74.01574803	+	ENSGALP00000028302
PMZ_0042454	ENSGALG00000033666	NHP2	119	89	74.78991597	+	ENSGALP00000046588
PMZ_0008654	ENSGALG00000030209	CPZ	97	72	74.22680412	+	ENSGALP00000045937
PMZ_0041506	ENSGALG00000009684	GPR26	278	205	73.74100719	+	ENSGALP00000015746
PMZ_0014640	ENSGALG00000033266		243	173	71.19341564	+	ENSGALP00000056000
PMZ_0005156	ENSGALG00000009681	BUB3	288	242	84.02777778	+	ENSGALP00000015741
PMZ_0005155	ENSGALG00000015608	ADRA2C	203	165	81.28078818	+	ENSGALP00000025121
PMZ_0014024	ENSGALG00000033356		49	38	77.55102041	+	ENSGALP00000048402
PMZ_0005154	ENSGALG00000042851	PPARGC1A	113	71	62.83185841	+	ENSGALP00000049671
PMZ_0027261	ENSGALG00000008936		58	45	77.5862069	+	ENSGALP00000014506
PMZ_0049005	ENSGALG00000027526	COL9A2	92	61	66.30434783	+	ENSGALP00000042507
PMZ_0041551	ENSGALG00000007666	KCHIP2	157	123	78.34394904	+	ENSGALP00000012413
PMZ_0042461	ENSGALG00000039555		93	52	55.91397849	+	ENSGALP00000053287
PMZ_0027444	ENSGALG00000014496	Prom1	44	29	65.90909091	+	ENSGALP00000023357
PMZ_0042463	ENSGALG00000014485	LDB2	167	141	84.43113772	+	ENSGALP00000023335
PMZ_0008568	ENSGALG00000038336	SLC20A2	634	546	86.11987382	+	ENSGALP00000056880
PMZ_0028363	ENSGALG00000014717	ANKRD55	52	36	69.23076923	+	ENSGALP00000023684
PMZ_0010533	ENSGALG00000008179	NT5C2	440	383	87.04545455	+	ENSGALP00000013294
PMZ_0010534	ENSGALG00000007609		232	183	78.87931034	+	ENSGALP00000032595
PMZ_0042466	ENSGALG00000014881	FAM184A	43	29	67.44186047	+	ENSGALP00000051526
PMZ_0026935	ENSGALG00000014881	FAM184A	77	50	64.93506494	+	ENSGALP00000023964
PMZ_0026738	ENSGALG00000037646	BRD8	169	127	75.14792899	+	ENSGALP00000052820
PMZ_0013634	ENSGALG00000031404	FAM160B1	708	587	82.90960452	+	ENSGALP00000045793
PMZ_0013635	ENSGALG00000015397	FNTA	194	143	73.71134021	+	ENSGALP00000024792
PMZ_0016412	ENSGALG00000008946	NHLRC2	120	89	74.16666667	+	ENSGALP00000014530
PMZ_0015670	ENSGALG00000035817	CIAO1	264	214	81.06060606	+	ENSGALP00000054316
PMZ_0042467	ENSGALG00000009502	ATE1	73	52	71.23287671	+	ENSGALP00000032372
PMZ_0029826	ENSGALG00000015708	FGFR3	275	230	83.63636364	+	ENSGALP00000001710
PMZ_0032943	ENSGALG00000038941	BRK1	72	66	91.66666667	+	ENSGALP00000053090
PMZ_0042469	ENSGALG00000006491	ANKRD1	76	42	55.26315789	+	ENSGALP00000044175
PMZ_0007879	ENSGALG00000009048	ABLIM1	231	190	82.25108225	+	ENSGALP00000014715
PMZ_0029100	ENSGALG00000040035	ADRB2	316	254	80.37974684	+	ENSGALP00000048596
PMZ_0012813	ENSGALG00000007528	TCERG1	546	449	82.23443223	+	ENSGALP00000012163
PMZ_0035266	ENSGALG00000003691	RNF145	87	68	78.16091954	+	ENSGALP00000005837
PMZ_0003203	ENSGALG00000003702	CLINT1	129	109	84.49612403	+	ENSGALP00000005857
PMZ_0029827	ENSGALG00000015556	AFAP1	85	59	69.41176471	+	ENSGALP00000025034
PMZ_0042472	ENSGALG00000010461	EBF3	225	224	99.55555556	+	ENSGALP00000017011
PMZ_0012867	ENSGALG00000032732	WASHC5	500	417	83.4	+	ENSGALP00000052698
PMZ_0031872	ENSGALG00000015995	PTPRA	529	451	85.25519849	+	ENSGALP00000059426
PMZ_0042476	ENSGALG00000033656	DQX1	198	148	74.74747475	+	ENSGALP00000048286
PMZ_0042477	ENSGALG00000000314	NEFL	267	186	69.66292135	+	ENSGALP00000000419
PMZ_0038438	ENSGALG00000042055	RXRA	108	99	91.66666667	+	ENSGALP00000046810
PMZ_0042479	ENSGALG00000040730	RXRG	162	146	90.12345679	+	ENSGALP00000056908
PMZ_0041523	ENSGALG00000015953		309	252	81.55339806	+	ENSGALP00000025663
PMZ_0042482	ENSGALG00000002105	FOXI1	117	108	92.30769231	+	ENSGALP00000003279
PMZ_0009368	ENSGALG00000042259	DOCK1	734	566	77.11171662	+	ENSGALP00000044707
PMZ_0042483	ENSGALG00000040836	FAM196A	34	28	82.35294118	+	ENSGALP00000056335
PMZ_0033981	ENSGALG00000038758	MMP15	104	63	60.57692308	+	ENSGALP00000055346
PMZ_0042484	ENSGALG00000003557	PAOX	133	85	63.90977444	+	ENSGALP00000005619
PMZ_0001383	ENSGALG00000015344	NXPE3	74	38	51.35135135	+	ENSGALP00000024716
PMZ_0013105	ENSGALG00000015977	SMOX	235	174	74.04255319	+	ENSGALP00000025700
PMZ_0042485	ENSGALG00000001416	ADRA1B	337	254	75.37091988	+	ENSGALP00000002155
PMZ_0006371	ENSGALG00000002447	CTNNA1	887	723	81.51071026	+	ENSGALP00000048815
PMZ_0033500	ENSGALG00000017246	ME3	232	196	84.48275862	+	ENSGALP00000027827
PMZ_0006370	ENSGALG00000002455	LRRTM2	194	125	64.43298969	+	ENSGALP00000003863
PMZ_0026226	ENSGALG00000041255	ADAM12	282	198	70.21276596	+	ENSGALP00000052705
PMZ_0012036	ENSGALG00000028402		67	44	65.67164179	+	ENSGALP00000041036
PMZ_0031583	ENSGALG00000009280	NPY2R	313	240	76.67731629	+	ENSGALP00000015084
PMZ_0041535	ENSGALG00000037525	FGFRL1	318	250	78.6163522	+	ENSGALP00000057609
PMZ_0042489	ENSGALG00000041453		137	129	94.16058394	+	ENSGALP00000049738
PMZ_0042492	ENSGALG00000027533	RNF24	48	34	70.83333333	+	ENSGALP00000043106
PMZ_0007945	ENSGALG00000008265		236	181	76.69491525	+	ENSGALP00000013431
PMZ_0028720	ENSGALG00000009265	KCNK18	56	37	66.07142857	+	ENSGALP00000015060
PMZ_0000500	ENSGALG00000009289	SLC18A2	163	131	80.36809816	+	ENSGALP00000015096
PMZ_0007951	ENSGALG00000040360	DUSP1	149	128	85.90604027	+	ENSGALP00000047470
PMZ_0042494	ENSGALG00000002863	ERGIC1	108	89	82.40740741	+	ENSGALP00000004508
PMZ_0042495	ENSGALG00000002846		77	47	61.03896104	+	ENSGALP00000004480
PMZ_0042490	ENSGALG00000029898	YKT6	91	66	72.52747253	+	ENSGALP00000052120
PMZ_0042499	ENSGALG00000009304	RAB11FIP2	173	127	73.41040462	+	ENSGALP00000015127
PMZ_0034089	ENSGALG00000030516	EMX1	111	100	90.09009009	+	ENSGALP00000052472
PMZ_0027776	ENSGALG00000008293	SH3PXD2A	99	71	71.71717172	+	ENSGALP00000013488
PMZ_0009993	ENSGALG00000031130	GGH	103	65	63.10679612	+	ENSGALP00000046399
PMZ_0000352	ENSGALG00000032270	NCAPH	60	45	75	+	ENSGALP00000047167
PMZ_0042505	ENSGALG00000016105	DYSF	1082	880	81.33086876	+	ENSGALP00000025899
PMZ_0030322	ENSGALG00000033695	CYP26A1	387	296	76.48578811	+	ENSGALP00000045482
PMZ_0042506	ENSGALG00000043213	CYP26C1	248	195	78.62903226	+	ENSGALP00000057965
PMZ_0042500	ENSGALG00000010588		27	22	81.48148148	+	ENSGALP00000017209
PMZ_0034169	ENSGALG00000044606	MEP1B	121	89	73.55371901	+	ENSGALP00000060193
PMZ_0026206	ENSGALG00000015373	PDE6B	507	398	78.50098619	+	ENSGALP00000051091
PMZ_0042511	ENSGALG00000006626	PDE6C	70	55	78.57142857	+	ENSGALP00000010688
PMZ_0000986	ENSGALG00000031720	LGI1	369	252	68.29268293	+	ENSGALP00000051517
PMZ_0032864	ENSGALG00000007515	SFRP5	122	90	73.7704918	+	ENSGALP00000012135
PMZ_0000988	ENSGALG00000003473	SFRP1	105	66	62.85714286	+	ENSGALP00000060914
PMZ_0042512	ENSGALG00000007531	ZFYVE27	71	46	64.78873239	+	ENSGALP00000012167
PMZ_0042513	ENSGALG00000015935	SMYD1	33	22	66.66666667	+	ENSGALP00000025636
PMZ_0042507	ENSGALG00000006763	EXOC6	70	56	80	+	ENSGALP00000055357
PMZ_0042508	ENSGALG00000016098	EXOC6B	179	142	79.32960894	+	ENSGALP00000025892
PMZ_0042509	ENSGALG00000006763	EXOC6	463	364	78.61771058	+	ENSGALP00000010925
PMZ_0041538	ENSGALG00000036142	LOXL3	449	343	76.39198218	+	ENSGALP00000045916
PMZ_0001000	ENSGALG00000013481	IKZF3	52	32	61.53846154	+	ENSGALP00000021927
PMZ_0001003	ENSGALG00000008417	CFAP58	417	311	74.58033573	+	ENSGALP00000013696
PMZ_0001004	ENSGALG00000041255	ADAM12	56	32	57.14285714	+	ENSGALP00000057930
PMZ_0014972	ENSGALG00000026470	BOD1L1	109	82	75.2293578	+	ENSGALP00000042774
PMZ_0026210	ENSGALG00000014516	CPEB2	316	297	93.98734177	+	ENSGALP00000023384
PMZ_0001619	ENSGALG00000036322	MED12	37	27	72.97297297	+	ENSGALP00000048641
PMZ_0041537	ENSGALG00000036747		81	45	55.55555556	+	ENSGALP00000053816
PMZ_0024018	ENSGALG00000001917	SSC4D	97	62	63.91752577	+	ENSGALP00000039455
PMZ_0032531	ENSGALG00000032534	OBSCN	191	140	73.29842932	+	ENSGALP00000049405
PMZ_0001621	ENSGALG00000032234	MAR5	140	125	89.28571429	+	ENSGALP00000054982
PMZ_0002778	ENSGALG00000014957	WDR1	403	319	79.15632754	+	ENSGALP00000024078
PMZ_0001625	ENSGALG00000006955	CCNJ	180	133	73.88888889	+	ENSGALP00000011254
PMZ_0026771	ENSGALG00000014406	PACRGL	147	107	72.78911565	+	ENSGALP00000023228
PMZ_0001630	ENSGALG00000031689		247	227	91.90283401	+	ENSGALP00000049066
PMZ_0032713	ENSGALG00000007007		63	48	76.19047619	+	ENSGALP00000011327
PMZ_0042518	ENSGALG00000014934	HS3ST1	194	132	68.04123711	+	ENSGALP00000036486
PMZ_0043221	ENSGALG00000012610		251	179	71.31474104	+	ENSGALP00000020559
PMZ_0042520	ENSGALG00000006983		52	36	69.23076923	+	ENSGALP00000032645
PMZ_0003121	ENSGALG00000039206	ARID5A	90	70	77.77777778	+	ENSGALP00000051487
PMZ_0041483	ENSGALG00000031534	ARID5B	43	39	90.69767442	+	ENSGALP00000058028
PMZ_0042521	ENSGALG00000007669	EGR1	108	88	81.48148148	+	ENSGALP00000012417
PMZ_0041484	ENSGALG00000037538	DBNL	104	76	73.07692308	+	ENSGALP00000055666
PMZ_0028340	ENSGALG00000040291		289	244	84.42906574	+	ENSGALP00000045095
PMZ_0029081	ENSGALG00000015528	JAKMIP1	577	448	77.64298094	+	ENSGALP00000024989
PMZ_0042524	ENSGALG00000007593	JAKMIP2	35	22	62.85714286	+	ENSGALP00000012264
PMZ_0042525	ENSGALG00000035506	FAU	109	87	79.81651376	+	ENSGALP00000049887
PMZ_0044036	ENSGALG00000015529	WFS1	114	88	77.19298246	+	ENSGALP00000024991
PMZ_0014308	ENSGALG00000000227	DPYSL2	483	406	84.05797101	+	ENSGALP00000000304
PMZ_0041579	ENSGALG00000015626	RGS12	159	114	71.69811321	+	ENSGALP00000057875
PMZ_0016097	ENSGALG00000009369	PRDX3	153	122	79.73856209	+	ENSGALP00000050265
PMZ_0016096	ENSGALG00000019570		31	25	80.64516129	+	ENSGALP00000047471
PMZ_0043924	ENSGALG00000010244	AKR1A1	157	114	72.61146497	+	ENSGALP00000016630
PMZ_0032485	ENSGALG00000035951		87	62	71.26436782	+	ENSGALP00000047214
PMZ_0032486	ENSGALG00000008523	XPNPEP1	433	338	78.06004619	+	ENSGALP00000013870
PMZ_0015285	ENSGALG00000009152	ATRNL1	686	565	82.36151603	+	ENSGALP00000014887
PMZ_0020543	ENSGALG00000004440		128	89	69.53125	+	ENSGALP00000007052
PMZ_0013732	ENSGALG00000009455	MCMBP	57	44	77.19298246	+	ENSGALP00000037974
PMZ_0042528	ENSGALG00000009427	TIAL1	217	172	79.26267281	+	ENSGALP00000015333
PMZ_0008131	ENSGALG00000041982		127	114	89.76377953	+	ENSGALP00000050414
PMZ_0042527	ENSGALG00000000235	PPP2R2A	239	220	92.05020921	+	ENSGALP00000030863
PMZ_0042533	ENSGALG00000017378	CRTAC1	90	72	80	+	ENSGALP00000028010
PMZ_0042532	ENSGALG00000015665	SH3BP2	84	48	57.14285714	+	ENSGALP00000025216
PMZ_0042531	ENSGALG00000004197		215	176	81.86046512	+	ENSGALP00000039978
PMZ_0017500	ENSGALG00000004156	KIF1BP	344	258	75	+	ENSGALP00000006597
PMZ_0044957	ENSGALG00000015033	REV3L	230	177	76.95652174	+	ENSGALP00000024199
PMZ_0033061	ENSGALG00000005473		59	37	62.71186441	+	ENSGALP00000008779
PMZ_0042548	ENSGALG00000034548	PLEKHA1	114	85	74.56140351	+	ENSGALP00000052222
PMZ_0042549	ENSGALG00000034044	TBC1D12	315	236	74.92063492	+	ENSGALP00000048430
PMZ_0042550	ENSGALG00000034757		41	30	73.17073171	+	ENSGALP00000049941
PMZ_0031934	ENSGALG00000030580	RPS6KA5	350	296	84.57142857	+	ENSGALP00000047730
PMZ_0027296	ENSGALG00000030597	KIF11	260	222	85.38461538	+	ENSGALP00000044151
PMZ_0042555	ENSGALG00000005305	ACKR2	26	19	73.07692308	+	ENSGALP00000008492
PMZ_0001487	ENSGALG00000044485	F2RL3	84	56	66.66666667	+	ENSGALP00000060552
PMZ_0041545	ENSGALG00000032373		167	109	65.26946108	+	ENSGALP00000052218
PMZ_0033638	ENSGALG00000035013	WDR11	372	305	81.98924731	+	ENSGALP00000043827
PMZ_0027548	ENSGALG00000002971	NSD1	562	428	76.15658363	+	ENSGALP00000004690
PMZ_0042541	ENSGALG00000015706		204	155	75.98039216	+	ENSGALP00000025284
PMZ_0042542	ENSGALG00000040646		91	75	82.41758242	+	ENSGALP00000045001
PMZ_0042543	ENSGALG00000015699	NELFA	82	69	84.14634146	+	ENSGALP00000025273
PMZ_0036164	ENSGALG00000027291		224	165	73.66071429	+	ENSGALP00000016612
PMZ_0049024	ENSGALG00000005628	COL9A3	57	42	73.68421053	+	ENSGALP00000009015
PMZ_0003693	ENSGALG00000005860	ACAA1	318	249	78.30188679	+	ENSGALP00000009408
PMZ_0047142	ENSGALG00000004205	SOAT1	170	126	74.11764706	+	ENSGALP00000006680
PMZ_0013022	ENSGALG00000007278	GRIN2A	355	290	81.69014085	+	ENSGALP00000011779
PMZ_0042966	ENSGALG00000008937	PPP1R21	36	25	69.44444444	+	ENSGALP00000014507
PMZ_0002495	ENSGALG00000010665	FOXN3	93	76	81.72043011	+	ENSGALP00000017332
PMZ_0042968	ENSGALG00000034802	SETD3	236	167	70.76271186	+	ENSGALP00000050207
PMZ_0011487	ENSGALG00000037711		103	66	64.0776699	+	ENSGALP00000051068
PMZ_0026067	ENSGALG00000036286	HHIPL1	493	392	79.51318458	+	ENSGALP00000045442
PMZ_0047183	ENSGALG00000009260	TMEM62	89	60	67.41573034	+	ENSGALP00000015055
PMZ_0040703	ENSGALG00000010026	PPP1CB	288	273	94.79166667	+	ENSGALP00000062615
PMZ_0042972	ENSGALG00000010576	GTF2A1	100	79	79	+	ENSGALP00000017191
PMZ_0028009	ENSGALG00000008912		196	141	71.93877551	+	ENSGALP00000050400
PMZ_0034331	ENSGALG00000009020	JAG1	259	201	77.60617761	+	ENSGALP00000014662
PMZ_0026512	ENSGALG00000029996	PPP2R5C	380	363	95.52631579	+	ENSGALP00000046266
PMZ_0033745	ENSGALG00000011330	DYNC1H1	1263	1091	86.38163104	+	ENSGALP00000036720
PMZ_0027830	ENSGALG00000042088	ATG2B	80	55	68.75	+	ENSGALP00000047769
PMZ_0012899	ENSGALG00000009278	RBM46	161	129	80.1242236	+	ENSGALP00000015078
PMZ_0030875	ENSGALG00000038097	EI24	134	102	76.11940299	+	ENSGALP00000056199
PMZ_0030876	ENSGALG00000004438	ARSB	283	215	75.97173145	+	ENSGALP00000037820
PMZ_0042001	ENSGALG00000010435	RASGRP3	88	71	80.68181818	+	ENSGALP00000016973
PMZ_0042981	ENSGALG00000009946	HECTD1	1068	930	87.07865169	+	ENSGALP00000016152
PMZ_0042982	ENSGALG00000041074		45	31	68.88888889	+	ENSGALP00000053982
PMZ_0004016	ENSGALG00000017388	YY1	213	200	93.89671362	+	ENSGALP00000028022
PMZ_0042976	ENSGALG00000020729	NDUFAF5	152	106	69.73684211	+	ENSGALP00000032560
PMZ_0016301	ENSGALG00000031862	BCL11B	92	82	89.13043478	+	ENSGALP00000052312
PMZ_0042985	ENSGALG00000027874	CHAC1	55	40	72.72727273	+	ENSGALP00000042685
PMZ_0006244	ENSGALG00000040986	FAM76A	118	107	90.6779661	+	ENSGALP00000045667
PMZ_0033120	ENSGALG00000017202	FAM76B	124	107	86.29032258	+	ENSGALP00000027754
PMZ_0040599	ENSGALG00000008912		644	476	73.91304348	+	ENSGALP00000014477
PMZ_0042987	ENSGALG00000012379	RTRAF	99	76	76.76767677	+	ENSGALP00000020185
PMZ_0027178	ENSGALG00000032958	AMPH	316	253	80.06329114	+	ENSGALP00000046237
PMZ_0006383	ENSGALG00000012396	PTGER2	34	23	67.64705882	+	ENSGALP00000020216
PMZ_0017021	ENSGALG00000020419	LIN52	80	72	90	+	ENSGALP00000031928
PMZ_0042991	ENSGALG00000009640	CHRM5	203	144	70.93596059	+	ENSGALP00000015685
PMZ_0031918	ENSGALG00000042458	ACTN1	659	575	87.25341426	+	ENSGALP00000049448
PMZ_0042992	ENSGALG00000003986	PITHD1	153	98	64.05228758	+	ENSGALP00000006338
PMZ_0042993	ENSGALG00000006352	CH25H	133	84	63.15789474	+	ENSGALP00000010254
PMZ_0042994	ENSGALG00000009678	KCTD3	247	222	89.87854251	+	ENSGALP00000015736
PMZ_0042995	ENSGALG00000033972		27	25	92.59259259	+	ENSGALP00000046343
PMZ_0042996	ENSGALG00000042461		70	52	74.28571429	+	ENSGALP00000055939
PMZ_0011463	ENSGALG00000004502	KIF19	305	241	79.01639344	+	ENSGALP00000007161
PMZ_0017844	ENSGALG00000041094	SYT1	295	263	89.15254237	+	ENSGALP00000056597
PMZ_0042633	ENSGALG00000009723	FMN1	264	213	80.68181818	+	ENSGALP00000015810
PMZ_0015096	ENSGALG00000011008	MAP3K21	265	221	83.39622642	+	ENSGALP00000017905
PMZ_0029895	ENSGALG00000029512	SPTBN1	1670	1394	83.47305389	+	ENSGALP00000048584
PMZ_0042998	ENSGALG00000010705	ZBTB18	49	32	65.30612245	+	ENSGALP00000017393
PMZ_0044644	ENSGALG00000009458		381	273	71.65354331	+	ENSGALP00000015378
PMZ_0042999	ENSGALG00000010733	CEP170	65	53	81.53846154	+	ENSGALP00000017440
PMZ_0031989	ENSGALG00000011639		88	52	59.09090909	+	ENSGALP00000018995
PMZ_0013817	ENSGALG00000030746		51	35	68.62745098	+	ENSGALP00000044414
PMZ_0027668	ENSGALG00000009784	PTPN14	219	148	67.57990868	+	ENSGALP00000015899
PMZ_0020720	ENSGALG00000009687	KCNK2	30	24	80	+	ENSGALP00000015750
PMZ_0001339	ENSGALG00000009028	BTBD3	433	359	82.90993072	+	ENSGALP00000014673
PMZ_0046300	ENSGALG00000009791	PROX1	108	90	83.33333333	+	ENSGALP00000015910
PMZ_0043007	ENSGALG00000010290	VEGFA	55	36	65.45454545	+	ENSGALP00000016723
PMZ_0042021	ENSGALG00000011801	ESR2	273	226	82.78388278	+	ENSGALP00000019234
PMZ_0043008	ENSGALG00000026727	SLC30A10	39	26	66.66666667	+	ENSGALP00000041013
PMZ_0026313	ENSGALG00000010874	UNC79	456	369	80.92105263	+	ENSGALP00000017654
PMZ_0034531	ENSGALG00000008624	RPAP1	208	150	72.11538462	+	ENSGALP00000014036
PMZ_0043011	ENSGALG00000010192	FBXO33	54	44	81.48148148	+	ENSGALP00000016550
PMZ_0043012	ENSGALG00000009426		224	193	86.16071429	+	ENSGALP00000037838
PMZ_0031355	ENSGALG00000012094	SLC35F4	206	143	69.41747573	+	ENSGALP00000019730
PMZ_0043014	ENSGALG00000028817	OTX1	110	96	87.27272727	+	ENSGALP00000041020
PMZ_0047457	ENSGALG00000012118	TMEM260	54	37	68.51851852	+	ENSGALP00000019765
PMZ_0006852	ENSGALG00000010169		337	247	73.29376855	+	ENSGALP00000016515
PMZ_0040707	ENSGALG00000013505		658	503	76.443769	+	ENSGALP00000021957
PMZ_0000757	ENSGALG00000010630	AHCTF1	199	150	75.37688442	+	ENSGALP00000017279
PMZ_0044165	ENSGALG00000028037	FOS	72	54	75	+	ENSGALP00000041340
PMZ_0043016	ENSGALG00000041807		309	256	82.84789644	+	ENSGALP00000050857
PMZ_0034248	ENSGALG00000012505	LRFN5	292	232	79.45205479	+	ENSGALP00000020403
PMZ_0043019	ENSGALG00000020438	DPH6	69	53	76.8115942	+	ENSGALP00000015931
PMZ_0043021	ENSGALG00000007845	REL	230	177	76.95652174	+	ENSGALP00000039504
PMZ_0046295	ENSGALG00000008544	SLC8A1	547	449	82.08409506	+	ENSGALP00000013904
PMZ_0036711	ENSGALG00000038065		576	474	82.29166667	+	ENSGALP00000046807
PMZ_0000972	ENSGALG00000012339	ATL1	338	264	78.10650888	+	ENSGALP00000020135
PMZ_0043022	ENSGALG00000008609	PTK7	96	71	73.95833333	+	ENSGALP00000051294
PMZ_0043024	ENSGALG00000011534	ZFYVE21	62	42	67.74193548	+	ENSGALP00000018782
PMZ_0041985	ENSGALG00000012228	MDGA2	277	191	68.95306859	+	ENSGALP00000019943
PMZ_0046297	ENSGALG00000009305	LBR	91	55	60.43956044	+	ENSGALP00000015128
PMZ_0043031	ENSGALG00000012263	NEMF	55	48	87.27272727	+	ENSGALP00000020002
PMZ_0032565	ENSGALG00000011366	MOK	66	50	75.75757576	+	ENSGALP00000018518
PMZ_0037344	ENSGALG00000010078	GLP1R	130	92	70.76923077	+	ENSGALP00000016362
PMZ_0030094	ENSGALG00000011365	WDR20	581	505	86.91910499	+	ENSGALP00000018516
PMZ_0029982	ENSGALG00000011511	CKB	363	305	84.02203857	+	ENSGALP00000018742
PMZ_0030092	ENSGALG00000009483	MARK1	235	219	93.19148936	+	ENSGALP00000015425
PMZ_0027593	ENSGALG00000009082	COQ8A	89	65	73.03370787	+	ENSGALP00000014761
PMZ_0002240	ENSGALG00000009068	ITPKB	183	136	74.31693989	+	ENSGALP00000014741
PMZ_0002242	ENSGALG00000012199	WDHD1	94	62	65.95744681	+	ENSGALP00000050859
PMZ_0030090	ENSGALG00000009069	CAPN14	58	37	63.79310345	+	ENSGALP00000014745
PMZ_0033574	ENSGALG00000012229		54	51	94.44444444	+	ENSGALP00000019945
PMZ_0043028	ENSGALG00000011910	MNAT1	33	31	93.93939394	+	ENSGALP00000019408
PMZ_0020345	ENSGALG00000004467	CLIP1	269	241	89.59107807	+	ENSGALP00000007101
PMZ_0005753	ENSGALG00000009915	EML4	566	437	77.20848057	+	ENSGALP00000016105
